id,nombre,tipo,tipo_sede,actividade,direccion,barrio,comuna,telefono,email,web,facebook,instalacio,geometry
74,Ciclista Nacion,Club de Barrio,Sede Administrativa,Actividades de Ciclismo - Competencias de Ciclismo Clasicas,Godoy Cruz 1209,Villa Crespo,Comuna 15,4777-3232,clubciclistanacion@yahoo.com.ar,,,Sin Instalaciones.,POINT (-58.43887369829867 -34.591129361458634)
75,Circulo Social Valle Miñor,Club de Barrio,Sede,Biodanza - Bolos Celtas - Danza Gallegas - Flamenco - Tai Chi - Actividades Culturales,Rafaela 4840,Villa Luro,Comuna 10,4683-3693,valminior@yahoo.com.ar,www.valminior.com.ar,circulo social valle miñor grupo publico,,POINT (-58.49514954543278 -34.63960047295533)
76,Circulo Catolico de Obreros de Villa devoto,Club de Barrio,Sede,Tenis - Baby Fútbol - Artes Marciales - Gimnasia,Habana 4568,Villa Devoto,Comuna 11,4501-3839,,,,"Canchas, 2 Salones, 2 Natatorios (Uno para Niños) Climatizados",POINT (-58.5201878338061 -34.60226466714681)
77,Circulo de Ajedrez Torre Blanca,Club de Barrio,Sede,Ajedrez,Sanchez De Bustamante 587,Almagro,Comuna 5,4862-3161,circulotorreblanca@fibertel.com.ar,,,,POINT (-58.41413532410648 -34.603122124855176)
78,Circulo de Villa Devoto,Club de Barrio,Sede,Gimnasia Femenina - Indoor - Fútbol 11 - Actividades Culturales - Aerolocal - Ajedrez - Escuela de Tenis - Estimulación Deportiva - Funcional - Taekwondo - Pilates - Patín - Musculación - Localizada - Hándball - Gimnasia Rítmica - Fútbol Infantil,"Moran, Pedro 4151",Villa Devoto,Comuna 11,4501-0501,circulo@fibertel.com.ar,www.circulo-devoto.com.ar,,3 Canchas - 1 Salon - Natatorio,POINT (-58.511691454469364 -34.60206371196464)
79,Círculo La Paternal,Club de Barrio,Sede,Artes Marciales - Actividades Culturales - Artes Marciales Mixtas Combinadas con Gimnasia - Baby Fútbol - Danza - Danza Clásica - Danza Iniciación - Entrenamiento Funcional con Aparatos - Fútbol Femenino - Fútbol Masculino Infantil - Gimnasia - Pat,Paz Soldan 5035,Paternal,Comuna 15,4553-4137,circulolapaternal@hotmail.com,,circulo la paternal,Canchas - Salones,POINT (-58.4690968116297 -34.5943846614396)
80,Circulo Martin Fierro,Club de Barrio,Sede,Baby Fútbol - Fútsal - Hándball - Vóley,Cochabamba 3536,Boedo,Comuna 5,4932-7362,,,circulo martin fierro (grupo publico),1 Cancha de Fútbol 24x17m,POINT (-58.41507073614531 -34.62702863532016)
81,Circulo Policia Federal Sede Campo Libertador,Club,Sede,Hockey - Natación - Patín - Artes Marciales - Fútsal - Vóley,Del Libertador Av. 7801,Nuñez,Comuna 13,4702-2253/9387,info@cpf.org.ar,www.cpf.org.ar,club círculo policía federal,4 Natatorios (1 Cubierto) - 2 Canchas - 4 Salones,POINT (-58.461852257880125 -34.54253929324045)
81,Circulo Policia Federal,Club,Sede Social,Vóley - Patín - Natación - Hockey - Fútsal - Artes Marciales,San Martin 353,San Nicolas,Comuna 1,4394-2409,info@cpf.org.ar - cpf@iplnmail.com.ar,www.cpf.org.ar,club círculo policía federal,4 Natatorios (1 Cubierto) - 2 Canchas - 4 Salones,POINT (-58.37360391782061 -34.60380674469668)
81,Circulo Policia Federal Sede Crio. Gral. R. O. Schuller,Club,Sede,Fútsal - Hockey - Natación - Artes Marciales - Vóley - Patín,"Calzadilla, Santiago 1350",Nuñez,Comuna 13,,info@cpf.org.ar,www.cpf.org.ar,club círculo policía federal,4 Natatorios (1 Cubierto) - 2 Canchas - 4 Salones,POINT (-58.462968938012985 -34.536140983495606)
82,Circulo Recreativo La Trevisana Asociacion de Recreacion y Cultura,Club de Barrio,Sede,Gimnasia - Gimnasia Deportiva - Bochas,"Benedetti, Osvaldo E., Dip.Nac. 195",Velez Sarsfield,Comuna 10,4601-3211,,,,1 Salon - Cancha de Bochas,POINT (-58.48251843751182 -34.63692870959194)
83,Circulo Social Hebreo Argentino,Club,Sede,Baby Fútbol - Artes Marciales - Patín - Fútsal - Básquet - Actividades Culturales - Vóley,Avellaneda Av. 3545,Floresta,Comuna 10,4671-5234,informes@csha.org.ar,www.csha.org.ar,csha una pasión,2 Canchas - 1 Salon,POINT (-58.47929409105888 -34.62821722953976)
84,Circulo Social Vertiz,Club de Barrio,Sede,Gimnasia Deportiva - Karate - Kick Boxing - Centro de Jubilados - Artes Marciales - Apoyo Escolar - Esferoterapia - Yoga - Winshu - Vóley - Stretching - Ritmos Latinos - Pintura - Fútsal - Gimnasia - Danza para Niñas,Andonaegui 1246,Parque Chas,Comuna 15,4521-3580,,,,Salon - Cancha - Gimnasio,POINT (-58.4793042979096 -34.587888149856305)
85,Circulo Social y Deportivo del Once,Club de Barrio,Sede,Ajedrez - Backgammon - Billar - Kung Fu - Pesca Deportiva - Relajación - Taekwondo - Yoga,"Moreno 2583, Moreno 2587",Balvanera,Comuna 3,4942-4443,,,circulo del once,3 Salones,POINT (-58.40281759864202 -34.61315811910861)
86,Circulo Urquiza,Club de Barrio,Sede,Gimnasia Aeróbica - Gimnasia Artística - Gimnasio con Aparatos - Natación - Patín - Pelota Paleta - Yoga - Vóley Femenino - Taekwondo - Básquet Masculino - Danza Orientales - Gimnasia Acrobática,Roosevelt Franklin D. Av. 5345,Villa Urquiza,Comuna 12,4521-8873  4523-7506,,www.cgunatacion.com.ar,,Canchas - Salones - Natatorio,POINT (-58.49005281705499 -34.574993121483665)
87,Club Argentino de Ajedrez,Club de Barrio,Sede,Go - Ajedrez,Paraguay 1858,Recoleta,Comuna 2,4811-9412,club@argentinodeajedrez.org.ar,www.www.argentinodeajedrez.org.ar,club argentino de ajedrez - oficial,Biblioteca - 2 Salones,POINT (-58.393892362805836 -34.59889195781496)
88,Club Argentino de Caza y Pesca,Club de Barrio,Sede,Pesca - Caza,"Artigas, Jose Gervasio, Gral. 1925",Villa Gral. Mitre,Comuna 11,S/T,,,,,POINT (-58.4755574687517 -34.60935456273222)
89,Club Artiguenses,Club de Barrio,Sede,Fútsal - Baby Fútbol,Brasil 2546,Parque Patricios,Comuna 4,4308-0050,,,,1 Cancha,POINT (-58.39970107859431 -34.631504024585126)
90,Atletico All Boys Estadio Estadio Islas Malvinas,Club,Estadio,Baby Fútbol - Gimnasia Deportiva - Vóley - Fútsal - Patín - Actividades Culturales - Boxeo - Full Contact - Básquet,Alvarez Jonte Av. 4180,Monte Castro,Comuna 10,4639-8688,info@caallboys.com.ar,http://www.caallboys.com.ar/,https://www.facebook.com/caallboysoficial,,POINT (-58.498678218372355 -34.61625403514343)
90,Club Atletico All Boys,Club,Anexo Deportivo,Básquet - Actividades Culturales - Baby Fútbol - Boxeo - Full Contact - Fútsal - Gimnasia Deportiva - Patín - Vóley,Chivilcoy 1951,Monte Castro,Comuna 10,4639-8688,info@caallboys.com.ar,http://www.caallboys.com.ar/,https://www.facebook.com/caallboysoficial,,POINT (-58.497173663358765 -34.615991142735005)
90,Club Atletico All Boys,Club,Sede Social,Full Contact - Fútsal - Patín - Actividades Culturales - Baby Fútbol - Vóley - Básquet - Gimnasia Deportiva - Boxeo,Mercedes 1950,Monte Castro,Comuna 10,4639-8688,info@caallboys.com.ar,http://www.caallboys.com.ar/,https://www.facebook.com/caallboysoficial,2 Canchas - Salones,POINT (-58.4984134482749 -34.6169832397453)
91,Club Atletico Bernasconi,Club de Barrio,Sede,,"Sastre, Marcos 3195",Villa Del Parque,Comuna 11,4501-6462,,,,,POINT (-58.49186238041057 -34.60542147234601)
92,Atletico Boca Juniors Estadio Alberto J. Armando,Club,Estadio,Bochas - Básquet - Balon - Atletismo - Judo - Vóley - Taekwondo - Pesas - Lucha - Karate - Gimnasia - Fútsal - Fútbol Femenino - Boxeo,Brandsen 805,La Boca,Comuna 4,5777-1200,cas@bocajuniors.com.ar,http://www.bocajuniors.com.ar/,https://www.facebook.com/bocajuniors,,POINT (-58.364869572961545 -34.636520330557936)
92,Atletico Boca Juniors Estadio Microestadio Luis Conde,Club,Estadio,,Arzobispo Espinosa 600,La Boca,Comuna 4,5777-1200,,http://www.bocajuniors.com.ar/,https://www.facebook.com/bocajuniors,,POINT (-58.365853823108274 -34.632029658137874)
93,Club Atletico Comercio,Club de Barrio,Sede,Tenis,Del Libertador Av. 7199,Nuñez,Comuna 13,4701-5620,clubcomercio@ciudad.com.ar,,club atletico comercio club deportivo,10 Canchas,POINT (-58.45710310916943 -34.54662286442923)
94,Atletico Defensores de Belgrano Estadio Juan Pasquale,Club,Estadio,Pesas - Boxeo - Fútbol - Gimnasia - Natación,"Rivadavia Martin, Comodoro 1450",Nuñez,Comuna 13,4702-8967,info@defeweb.com.ar - institucional@defeweb.com.ar,http://www.defeweb.com.ar/,https://www.facebook.com/pages/defensores-de-belgrano/181270058574986,Natatorio - Cancha de Fútbol - Salon,POINT (-58.461793452144896 -34.54036014715059)
95,Club Atletico Estudiantes,Club,Anexo Administrativo,Karate - Fútbol Femenino - Patín - Fútbol - Taekwondo - Hándball,"Beiro, Francisco Av. 5175",Villa Devoto,Comuna 11,4568-5510,caestudiantes@yahoo.com.ar,www.caestudiantes.com.ar,,Gimnasio,POINT (-58.523216180113124 -34.612612330593436)
96,Club Atletico Fenix,Club de Barrio,Sede,Folklore - Tango - Artes Marciales,"Arenal, Concepcion 3560",Chacarita,Comuna 15,4771-4657,clubatleticofenix@yahoo.com.ar,,,2 Salones - 1 Cancha,POINT (-58.446536039142714 -34.58446050404183)
97,Club Atletico Independiente,Club,Sede,Fútsal - Danza - Taekwondo - Baby Fútbol,Boyaca Av. 470,Flores,Comuna 7,4633-5499 / 4633-7527,boyaca@clubaindependiente.com,www.clubaindependiente.com,club atlético independiente equipo deportivo,Dos Vestuarios y un Baño para Discapacitados - Buffet con Patio de Comidas - Dos Canchas de Fútbol 5 para la Escuela de Fútbol.,POINT (-58.46034799219887 -34.62176678219714)
98,Club Atletico Los Viejos Muchachos (N.O.B.),Club de Barrio,Sede,Vóley - Teatro - Gimnasia Deportiva - Tango - Musculación - Baby Fútbol - Actividades Culturales - Artes Marciales - Básquet - Danza - Tenis de Mesa,Avalos 1036,Parque Chas,Comuna 15,4523-5775,,,,3 Salones,POINT (-58.47401019064181 -34.58767019938541)
99,Club Atlético Piraña,Club de Barrio,Sede,Vóley - Fútbol Femenino - Boxeo - Baby Fútbol - Aero Funcional - Fútsal - Kra Magal - Taekwondo,Elia 678,Parque Patricios,Comuna 4,4911-8674 4912-4494,,,,,POINT (-58.40820282463924 -34.64535815445219)
100,Atletico Platense Anexo Deportivo Alejandro Mariani Dólan,Club,Anexo Deportivo,Fútbol - Vóley - Tenis,"Larralde, Crisologo Av. 5195",Saavedra,Comuna 12,4545-8358,,www.cap.org.ar/,,4 Canchas,POINT (-58.49427585600735 -34.562215542571074)
101,Atletico River Plate Estadio Microestadio River Plate,Club,Estadio,,"Figueroa Alcorta, Pres. Av. 7597",Belgrano,Comuna 13,4789 1200,,http://www.cariverplate.com.ar/,https://www.facebook.com/riverplateoficial,,POINT (-58.44863854694622 -34.546427114478675)
101,Atletico River Plate Estadio Monumental Antonio Vespucio Liberti,Club,Estadio,Vóley - Básquet - Cestoball - Fútbol Femenino - Fútsal - Gimnasia - Hándball - Hockey - Natación - Tenis - Waterpolo,"Figueroa Alcorta, Pres. Av. 7597",Belgrano,Comuna 13,(54 11) 4789 1200,club@cariverplate.com.ar,http://www.cariverplate.com.ar/,https://www.facebook.com/riverplateoficial,,POINT (-58.449386559843 -34.546514237089134)
102,Atletico San Lorenzo de Almagro Estadio Pedro Bidegain,Club,Estadio,,"Varela Av. y Moreno, Perito Av.",Flores,Comuna 7,4016-2600,,http://www.sanlorenzo.com.ar/,https://www.facebook.com/sanlorenzo,,POINT (-58.4402216137946 -34.65203611679668)
102,Atletico San Lorenzo de Almagro Sede Boedo,Club,Sede,Gimnasia - Natación - Artes Marciales - Stretching - Yoga,La Plata Av. 1782,Boedo,Comuna 5,4016-2600,infolaplata@sanlorenzo.com.ar,http://www.sanlorenzo.com.ar/,https://www.facebook.com/sanlorenzo,Natatorio Climatizado - Gimnasio,POINT (-58.424345993387554 -34.636062098757286)
102,Club Atletico San Lorenzo de Almagro,Club,Anexo Administrativo,,De Mayo Av. 1373,Monserrat,Comuna 1,4016-2600,socios@sanlorenzo.com.ar,http://www.sanlorenzo.com.ar/,https://www.facebook.com/sanlorenzo,Venta de Merchandising,POINT (-58.385867836070666 -34.6091764405601)
102,Atletico San Lorenzo de Almagro Sede Ciudad Deportiva,Club,Sede,Fútsal - Hockey Sobre Césped - Hockey Sobre Patínes - Natación - Patín - Rugby - Tenis - Vóley Femenino - Vóley Masculino - Básquet - Bowling - Fútbol Recreativo - Fútbol Femenino,"Fernandez De La Cruz, F., Gral. Av. 2145",Flores,Comuna 7,4918-8192,infociudad@sanlorenzo.com.ar,http://www.sanlorenzo.com.ar/,https://www.facebook.com/sanlorenzo,"Sector de Quinchos y Parrillas - Zona de Tres Grandes Natatorios, Uno Climatizado - Cancha de Fútbol Profesional con Medidas Reglamentarias de 100x70 - 6 Canchas para Fútbol Amateur - Cancha de Hockey Sobre Patines - Cancha de Hockey Sobre Cesped - Can",POINT (-58.434599257311284 -34.652375131095845)
103,Atletico Velez Sarsfield Estadio José Amalfitani,Club,Estadio,Hockey Sobre Patínes - Judo - Karate - Kung Fu - Levantamiento Olímpico - Yoga - Natación - Pádel - Patín Artístico - Patín Carrera - Pesca Deportiva - Tenis - Vóley - Musculación - Actividades Culturales - Aerobismo - Ajedrez - Atletismo - Bás,"Justo, Juan B. Av. 9200",Liniers,Comuna 9,(54-11) 4641-5653/5763/4014,velezsocios@velezsarsfield.com.ar,http://www.velezsarsfield.com.ar/,https://www.facebook.com/velezsarsfield,"Estadio Amalfitani con Capacidad 49.540 Espectadores. Salón Bajo Oeste: Gimnasio de 35 X 15 M. Pileta de Natación: Invierno: Pileta C/Globo. Verano: Pileta Olímpica (50 X 25 M) y Pileta de 25 X 16 M, Terraza Solarium,Solarium Parquizado y confitería",POINT (-58.51941834974486 -34.633852878164774)
103,Atletico Velez Sarsfield Anexo Deportivo Polideportivo,Club,Anexo Deportivo,Cestoball - Actividades Culturales - Aerobismo - Ajedrez - Atletismo - Básquet - Béisbol - Bocchia - Bochas - Ciclismo - Fútbol Amateur - Fútbol Profesional - Gimnasia Acrobática - Gimnasia Aeróbica - Gimnasia Artística - Gimnasia Integral - Gimna,"Justo, Juan B. Av. 8900",Liniers,Comuna 9,4641-5663/5763/4014,velezsocios@velezsarsfield.com.ar,http://www.velezsarsfield.com.ar/,https://www.facebook.com/velezsarsfield,"Complejo Acuático de Vélez Sarsfield: el Complejo Acuático Posee Dos Natatorios (uno de los Cuales Es Semi Olímpico) de 12.50m X 25.00m, Cuya Superficie Es de 312.50m3 Cada uno. las Profundidades de los Mismos Son de 1.20m A 1.40m y de 1.80m A 2.00m.",POINT (-58.51393062731808 -34.63364594985804)
104,Club Bristol,Club de Barrio,Sede,Tango - Patín - Baby Fútbol - Taekwondo,La Rioja 1869,Parque Patricios,Comuna 4,4308-5504,,,,2 Canchas - 1 Salon,POINT (-58.40630161343879 -34.63304508471143)
105,Centro Naval Sede Nuñez,Club,Sede,Rugby - Náutica - Hockey,"Rivadavia Martin, Comodoro y Del Libertador Av.",Nuñez,Comuna 13,4701-4795 y 4704-9272,sede.nunez@centronaval.org.ar,www.centronaval.org.ar,,"Amarraderos - 2 Canchas de Hockey de Césped Sintético y 2 Canchas de Mini-Hockey - 5 Canchas Reglamentarias de Rugby, 4 de Ellas Provistas de Torres de Iluminación para Entrenamiento Nocturno y 3 Canchas de Mini-Rugby.",POINT (-58.459023544959656 -34.536700683075395)
106,Club Ciudad de Buenos Aires,Club,Sede,Tango - Tenis - Vóley - Musculación - Natación - Pádel - Pelota Paleta - Rugby - Salsa - Softbol - Bochas - Colonia de Vacaciones - Esgrima - Folklore - Fútbol - Golf - Hockey - Hockey Sobre Patínes - Judo - Karate - Merengue,Del Libertador Av. 7501,Nuñez,Comuna 13,4703-0222,comunicacion@clubciudad.org.ar,www.clubciudad.org.ar,club ciudad de buenos aires - oficial,Canchas de Tenis - Canchas de Paddle - 4 Piletas (1 Cubierto) - Canchas de Hockey y Hockey Sobre Patines - Canchas de Fútbol - Canchas de Voley - Gimnasios - Cancha de Rugby - Cancha de Softbol - Cancha de Bochas - Cancha de Pelota-Paleta,POINT (-58.45967498949328 -34.54456133796259)
107,Comunicaciones Estadio Alfredo Ramos,Club,Estadio,,"Cortazar, Julio y Tinogasta",Agronomia,Comuna 15,4504-5454,,http://www.clubcomunicaciones.com.ar/,https://www.facebook.com/clubcomunicacionesoficial,,POINT (-58.48845702811214 -34.59414135922167)
107,Club Comunicaciones,Club,Central,Gimnasia Artística - Baby Fútbol - Lucha - Vóley - Pelota Paleta - Patín - Taekwondo - Musculación - Hockey Sobre Patínes - Hockey Sobre Césped - Hándball - Fútsal - Fútbol Afa - Béisbol - Básquet,San Martin Av. 5123,Agronomia,Comuna 15,4502-9493,administracion@clubcomunicaciones.com.ar,http://www.clubcomunicaciones.com.ar/,https://www.facebook.com/clubcomunicacionesoficial,4 Canchas de Fútbol - 16 Canchas de Tenis - 2 Canchas de Rugby - Cancha de Basquet - Natatorio - Salones,POINT (-58.49064475904098 -34.59703824568821)
108,Club de Ajedrez de Villa del Parque,Club de Barrio,Sede,Ajedrez,Santo Tome 3823,Villa Del Parque,Comuna 11,,cavpajedrez@gmail.com,www.cavp.com.ar,club de ajedrez de villa del parque,,POINT (-58.497672760938464 -34.61087744121463)
109,Club de Ajedrez Jaque Mate Asociacion Civil,Club de Barrio,Sede,Ajedrez,Santiago Del Estero 952,Constitucion,Comuna 1,4305-5206,,,,Biblioteca - 4 Salones,POINT (-58.38409899419544 -34.61923028291867)
110,Club de Amigos,Club,Sede,Tenis - Hockey - Gimnasia - Fútbol - Natación - Fitness - Básquet - Artes Marciales - Rugby - Vóley,"Figueroa Alcorta, Pres. Av. 3885",Palermo,Comuna 14,4802-3058 / 4807-4035  / 4801-1213,info@clubdeamigos.org.ar,www.clubdeamigos.org.ar,club de amigos,Canchas - Gimnasio - Natatorios,POINT (-58.41109304210043 -34.57186293841955)
111,Club de Corredores,Club de Barrio,Sede,Carreras de Calle de Atletismo y Carreras de Aventura En Zonas Campestres,Monroe 916,Belgrano,Comuna 13,4780-1010,clubdecorredores@clubdecorredores.com.ar,www.clubdecorredores.com,,,POINT (-58.44434768916986 -34.54927319003635)
112,Club de Gimnasia y Esgrima de Velez Sarsfield,Club,Sede,Folklore - Fútsal - Baby Fútbol - Gimnasia - Gimnasio - Patín - Taekwondo,"Gonzalez, Joaquin V. 1511",Villa Santa Rita,Comuna 11,4567-6971,,,,1 Cancha - 2 Salones,POINT (-58.489412932289255 -34.61905224838199)
113,Club de Gimnasia y Esgrima de Villa del Parque,Club de Barrio,Sede,Danza Contemporánea - Zumba - Yoga - Vóley Masculino - Vóley Femenino - Tenis - Tango - Taekwondo - Pilates - Natación - Musculación - Iniciación Deportiva - Indoor Cycling - Gimnasia Suave - Gimnasia Rítmica - Gimnasia Artística - Gimnasia Aeró,Tinogasta 3455,Villa Del Parque,Comuna 11,4501-1518 int. 11 y 12  FAX: 4501-2438,gevpadministracion@fibertel.com.ar,www.gevparque.org,club gevp,Canchas - Salones - Gimnasios - Natatorios Climatizados,POINT (-58.49882069425952 -34.602181650613964)
114,Club de Pelota y Esgrima,Club de Barrio,Sede,Pelota Paleta,Moreno 981,Monserrat,Comuna 1,4342-4820,,,,Cancha de Paleta - Salon,POINT (-58.38024008426946 -34.61163126749875)
115,Club del Personal de Direccion del Ferrocarril Domingo Faustino Sarmiento - FCDFS,Club de Barrio,Sede,Gimnasia Femenina - Natación - Fútbol 7 - Pádel - Pelota Paleta - Tango - Tenis - Vóley - Folklore - Actividades Culturales - Fútbol 9,Reservistas Argentinos 219,Liniers,Comuna 9,4644-2360   4642-9845,clubferrocarrildfs@hotmail.com,,,Cancha - Salon - Natatorio,POINT (-58.52126435072285 -34.636464689412364)
116,Club Deportivo Alberdi,Club de Barrio,Sede,,White 1041,Parque Avellaneda,Comuna 9,4682-9737,,,,,POINT (-58.487835213337654 -34.647222597314965)
117,Deportivo Español Estadio Estadio Nueva España,Club,Estadio,,Santiago De Compostela Av. 3801,Parque Avellaneda,Comuna 9,4619-1515/1516,,http://www.cde.com.ar/,https://www.facebook.com/pages/club-deportivo-espa%c3%b1ol-oficial/165965500136401?fref=ts,,POINT (-58.46452545003647 -34.6578661129527)
117,Club Deportivo Español,Club,Anexo Deportivo,Danza - Fútsal - Patín - Vóley - Artes Marciales - Actividades Culturales - Baby Fútbol,"Dellepiane, Luis, Tte. Gral. y Escalada Av.",Villa Lugano,Comuna 8,S/T,clubespañol@speedy.com.ar,http://www.cde.com.ar/,https://www.facebook.com/pages/club-deportivo-espa%c3%b1ol-oficial/165965500136401?fref=ts,,POINT (-58.47285855768659 -34.662704687894696)
117,Club Deportivo Español,Club,Sede Administrativa,Baby Fútbol - Artes Marciales - Patín - Fútsal - Vóley - Actividades Culturales - Danza,"Alvarez, Crisostomo 3932",Parque Avellaneda,Comuna 9,4637-6903,clubespañol@speedy.com.ar,http://www.cde.com.ar/,https://www.facebook.com/pages/club-deportivo-espa%c3%b1ol-oficial/165965500136401?fref=ts,,POINT (-58.46809260320708 -34.65539035947061)
118,Club Ferrocarril Oeste,Club,Sede Social,Fútbol - Gimnasia Deportiva - Hándball - Hockey - Judo - Básquet - Béisbol - Vóley - Tenis de Mesa - Tenis - Taekwondo - Natación - Ajedrez - Folklore - Gimnasia,"Garcia Lorca, Federico 350",Caballito,Comuna 6,4431-8282,informesocios@ferrocarriloeste.org.ar  -  ferrocar@fibertel.com.ar,http://www.ferrocarriloeste.org.ar/,https://www.facebook.com/ferrooficial,7 Gimnasios - Cancha de Beisbol - 2 Natatorios - 10 Canchas de Tenis - Salon de Taekwondo - Salon de Ajedrez,POINT (-58.445713601958595 -34.61789138636604)
118,Ferrocarril Oeste Estadio Hector Etchart,Club,Estadio,,Avellaneda Av. 1240,Caballito,Comuna 6,4431-8282,,http://www.ferrocarriloeste.org.ar/,https://www.facebook.com/ferrooficial,,POINT (-58.448836120533855 -34.61852072241873)
118,Ferrocarril Oeste Estadio Arquitecto Ricardo Etcheverri,Club,Estadio,,Avellaneda Av. 1240,Caballito,Comuna 6,4431-8282,,http://www.ferrocarriloeste.org.ar/,https://www.facebook.com/ferrooficial,,POINT (-58.447688366139964 -34.61858318309439)
119,Club Fulgor de Villa Crespo,Club de Barrio,Sede,Folklore - Baby Fútbol - Artes Marciales - Yoga - Patín - Tango - Ajedrez,Loyola 828,Villa Crespo,Comuna 15,4778-1511 a partir de las 16 hs,,,,1 Cancha - 1 Salon,POINT (-58.43820787602039 -34.59338348323066)
120,Gimnasia y Esgrima de Buenos Aires (GEBA) Estadio Estadio Geba Jorge Newbery,Club,Estadio,P.A.F.B. - Ajedrez - Atletismo - Colonia de Vacaciones - Flexibilidad - Gimnasia Aeróbica - Gimnasia Localizada - Indoor Cycling - Iniciación Deportiva - Localizada - Localizada e Intensa - Mini Geba (MultiDeportivas) - Musculación - Natación - Pelot,"Freyre, Marcelino E., Cnel. Av. 3831, Av. Dorrego 3600",Palermo,Comuna 14,4382-0031/34,info@geba.org.ar,http://www.portaldegeba.com/,https://www.facebook.com/clubdegimnasiayesgrima,6 Canchas de Tenis de Polvo de Ladrillo - 1 Frontón - 1 Cancha de Basquet de Cemento Apta Además para Fútbol 5 - 1 Cancha de Basquet de Polvo de Ladrillo - 1 Playón Multiuso / Cancha Sintético de Mini Fútbol - 1 Estadio con Capaciad para 12.000 Esp,POINT (-58.42047740834299 -34.56875076019472)
120,Gimnasia y Esgrima de Buenos Aires (GEBA) Sede San Martin,Club,Sede,Natación - P.A.F.B. - Palestra - Patín - Pilates - Rugby - Taekwondo - Tenis - Vóley - Waterpolo - Yoga Moderno - Mini Geba (MultiDeportivas) - Localizada e Intensa - Localizada - Iniciación Deportiva (MultiDeportivas) - Indoor Cycling - Hockey Mascu,"Figueroa Alcorta, Pres. Av. 5575",Palermo,Comuna 14,Conmutador: 4788-8400/3303/5073,info@geba.org.ar,http://www.portaldegeba.com/,https://www.facebook.com/clubdegimnasiayesgrima,24 Canchas de Tenis de Polvo de Ladrillo - 2 Canchas de Tenis de Cemento - 7 Canchas de Voleibol (Tipo Playón) - 6 Canchas de Minivoley - 3 Canchas de Fútbol 11 - 3 Canchas de Fútbol Sintético - 3 Piletas con Más de 700 M2 y de Distintas Profundidad,POINT (-58.42594845677236 -34.56013396286078)
120,Gimnasia y Esgrima de Buenos Aires (GEBA) Central Dr. R. C. Aldao,Club,Central,Gimnasia Corporal Postural - Yoga Iyengar - Yoga - Vóley - Taekwondo - Stretching - Ritmos - Pilates Matt - Pilates - Esgrima - Acondicionamiento Físico - Aikido - Ajedrez - Básquet - Body Combat - Body Pump - Boxeo - Bridge - Colonia de Vacaciones -,"Mitre, Bartolome 1149, Tte. Gral. J. D. Peron 1154",San Nicolas,Comuna 1,4382-4395/ 0031,info@geba.org.ar,http://www.portaldegeba.com/,https://www.facebook.com/clubdegimnasiayesgrima,"1 Gran Gimnasio de 50 X 24 M. con una Cancha de Voley y una de Basquet Aptas para Alta Competencia, con Galería Superior Perimetral Adecuada para Running - 2 Gimnasios Aptos para Entrenamientos y Práctica de Voley y Basquet Infantil, y Uno de Ellos par",POINT (-58.38277394255541 -34.60720825478511)
121,Club Gimnasia y Esgrima Villa Devoto,Club de Barrio,Sede,Básquet - Coro - Vóley - Teatro - Patín - Gimnasia Deportiva - Esgrima - Artes Marciales - Baby Fútbol,Mercedes 4280,Villa Devoto,Comuna 11,4501-0218,,,,Gimasio - Cancha de Paddle - 2 Salones,POINT (-58.51443521044876 -34.598752818555674)
122,Club Hipico Argentino,Club,Sede,Natación - Gimnasia - Escuela de Equitación - Hipismo,"Figueroa Alcorta, Pres. Av. 7285",Belgrano,Comuna 13,4787-1003,,www.clubhipicoargentino.org.ar,,"1 Pista de Césped, Caballerizas para 300 Equinos, Varias Pistas de Arena, y un Picadero Cubierto con Capacidad para 5000 Espectadores. Otras Comodidades Son: una Importante Sede Social, una Pileta Olímpica, un Gimnasio y Solarium.",POINT (-58.44539515668718 -34.54711508923312)
123,Club Juventud de Belgrano,Club de Barrio,Sede,Actividades Culturales - Baby Fútbol - Artes Marciales - Vóley - Patín,"Aviles, Virrey 3167",Colegiales,Comuna 13,4553-6266,,,,1 Cancha - 2 Salones,POINT (-58.45866957044115 -34.57311136923838)
124,Club Juventud de Nuñez,Club de Barrio,Sede,Pilates - Taekwondo - Boxeo,11 De Septiembre De 1888 3635,Nuñez,Comuna 13,4703-1879,,,,2 Salones,POINT (-58.46147198247407 -34.54515714105804)
125,"Club Liniers Norte Social, Cultural y Deportivo",Club de Barrio,Sede,Pesca - Gimnasia - Actividades Culturales - Artes Marciales,Gana 687,Versalles,Comuna 10,4641-6138,,,,2 Salones,POINT (-58.5273490089562 -34.63076419731395)
126,Club Miriñaque,Club de Barrio,Sede,Fútsal - Baby Fútbol - Yoga - Vóley - Taekwondo - Patín - Gimnasia Deportiva - Básquet,Lynch 3471,Nueva Pompeya,Comuna 4,4911-1029,,,,1 Cancha - 2 Salones,POINT (-58.408731537308874 -34.65148332475449)
127,Club Mitre,Club de Barrio,Sede,Baby Fútbol - Taekwondo - Folklore - Tango - Patín Artístico,Segurola Av. 1332,Velez Sarsfield,Comuna 10,4567-8185,clubmitre@hotmail.com,,club social y deportivo mitre,Cancha - Salon,POINT (-58.49544817770547 -34.62380046688675)
